state/ut,PC,candidate_name,party,evm_votes,postal_votes,total_votes,percent_votes,rank,Status
Maharashtra,Maval,SURESH SHRIPATI TAUR,Independent,1083,0,1083,0.08,20,Lost
Maharashtra,Maval,AJAY HANUMANT LONDHE,Independent,1042,2,1044,0.08,21,Lost
Maharashtra,Maval,Dr. SOMNATH ALIAS BALASHAHEB ARJUN POL,Independent,970,0,970,0.07,22,Lost
Maharashtra,Mumbai   South,Arvind Ganpat Sawant,Shivsena,420530,1407,421937,52.64,1,Won
Maharashtra,Mumbai   South,Deora Milind Murli,Indian National Congress,321362,508,321870,40.15,2,Lost
Maharashtra,Mumbai   South,Dr. Anil Kumar,Vanchit Bahujan Aaghadi,30213,135,30348,3.79,3,Lost
Maharashtra,Mumbai   South,NOTA,None of the Above,15071,44,15115,1.89,4,Lost
Maharashtra,Mumbai   South,Gautam Sureshkumar Mistrilal,Bahujan Samaj Party,4320,9,4329,0.54,5,Lost
Maharashtra,Mumbai   South,Sai Shrivastav,Independent,1670,1,1671,0.21,6,Lost
Maharashtra,Mumbai   South,Irfan Shaikh,Ambedkarite Party of India,1391,0,1391,0.17,7,Lost
Maharashtra,Mumbai   South,Shehbaj Rathod,Jai Maha Bharath Party,1347,0,1347,0.17,8,Lost
Maharashtra,Mumbai   South,Shankar Sonawane,Independent,876,3,879,0.11,9,Lost
Maharashtra,Mumbai   South,Adv. Ramchandra N. Kachave,Kranti Kari Jai Hind Sena,735,2,737,0.09,10,Lost
Maharashtra,Mumbai   South,Abbas F. Chhatriwala,Jan Adhikar Party,528,0,528,0.07,11,Lost
Maharashtra,Mumbai   South,Adv. Sahil L . Shah,Bhartiya Manavadhikaar Federal Party,513,1,514,0.06,12,Lost
Maharashtra,Mumbai   South,Hamir kalidas Vinjuda,Bahujan Republican  Socialist Party,496,0,496,0.06,13,Lost
Maharashtra,Mumbai   South,Rajesh B. Dayal,Independent,449,0,449,0.06,14,Lost
Maharashtra,Mumbai North,Gopal Shetty,Bharatiya Janata Party,705555,1123,706678,71.4,1,Won
Maharashtra,Mumbai North,Urmila Matondkar,Indian National Congress,240956,475,241431,24.39,2,Lost
Maharashtra,Mumbai North,Thorat Sunil Uttamrao,Vanchit Bahujan Aaghadi,15629,62,15691,1.59,3,Lost
Maharashtra,Mumbai North,NOTA,None of the Above,11941,25,11966,1.21,4,Lost
Maharashtra,Mumbai North,Manojkumar Jayprakash Singh,Bahujan Samaj Party,3924,1,3925,0.4,5,Lost
Maharashtra,Mumbai North,B. K. Gadhavi,Independent,1392,1,1393,0.14,6,Lost
Maharashtra,Mumbai North,Milind Shankar Repe,Independent,1351,1,1352,0.14,7,Lost
Maharashtra,Mumbai North,Fateh Mohd. Mansuri Shaikh,Bhartiya Lokmat Rashtrwadi Party,1234,0,1234,0.12,8,Lost
Maharashtra,Mumbai North,Dr. Raies Khan,Independent,1078,0,1078,0.11,9,Lost
Maharashtra,Mumbai North,Andrew John Fernandes,Hum Bhartiya Party,905,1,906,0.09,10,Lost
Maharashtra,Mumbai North,Amol Ashokrao Jadhav,Independent,897,3,900,0.09,11,Lost
Maharashtra,Mumbai North,Ansari Mohd. Azad,Independent,634,0,634,0.06,12,Lost
Maharashtra,Mumbai North,Comrade Vilas Hiwale,Marxist Leninist Party of India (Red Flag),489,0,489,0.05,13,Lost
Maharashtra,Mumbai North,Chandaliya Samaysingh Anand,Bahujan Mukti Party,440,9,449,0.05,14,Lost
Maharashtra,Mumbai North,Dr. Pawan Kumar Pandey,Sarvodaya Bharat Party,422,1,423,0.04,15,Lost
