state/ut,PC,candidate_name,party,evm_votes,postal_votes,total_votes,Rank,Status
Andhra Pradesh,Adilabad ,GODAM NAGESH,Telangana Rashtra Samithi,425762,5085,430847,1,Won
Andhra Pradesh,Adilabad ,NARESH,Indian National Congress,257994,1563,259557,2,Lost
Andhra Pradesh,Adilabad ,RAMESH RATHOD,Telugu Desam,182879,1319,184198,3,Lost
Andhra Pradesh,Adilabad ,RATHOD SADASHIV,Bahujan Samaj Party,94363,57,94420,4,Lost
Andhra Pradesh,Adilabad ,NETHAWATH RAMDAS,Independent,41028,4,41032,5,Lost
Andhra Pradesh,Adilabad ,PAWAR KRISHNA,Independent,5051,4,5055,6,Lost
Andhra Pradesh,Adilabad ,BANKA SAHADEV,Independent,4780,7,4787,7,Lost
Andhra Pradesh,Adilabad ,MOSALI CHINNAIAH,Independent,8842,17,8859,8,Lost
Andhra Pradesh,Adilabad ,None of the Above,NOTA,17021,63,17084,9,Lost
Andhra Pradesh,Peddapalle ,DR.JANAPATI SARAT BABU,Telugu Desam,63174,160,63334,1,Won
Andhra Pradesh,Peddapalle ,TAGARAM SHANKAR LAL,Bahujan Samaj Party,9430,19,9449,2,Lost
Andhra Pradesh,Peddapalle ,BALKA SUMAN,Telangana Rashtra Samithi,563214,2282,565496,3,Lost
Andhra Pradesh,Peddapalle ,G. VIVEKANAND,Indian National Congress,273441,897,274338,4,Lost
Andhra Pradesh,Peddapalle ,KALVALA SHANKAR,Pyramid Party of India,9288,2,9290,5,Lost
Andhra Pradesh,Peddapalle ,KALVALA SANJEEV,Republican Party of India,8609,0,8609,6,Lost
Andhra Pradesh,Peddapalle ,BOTHA VENKATA MALLAIAH,BCUF,2245,0,2245,7,Lost
Andhra Pradesh,Peddapalle ,J.V. RAJU,New India Party,3020,0,3020,8,Lost
Andhra Pradesh,Peddapalle ,VENKATA SWAMY INJAM,MaSP,3861,5,3866,9,Lost
Andhra Pradesh,Peddapalle ,VELTHURU MALLAIAH,Republican Paksha (Khoripa),45976,1,45977,10,Lost
Andhra Pradesh,Peddapalle ,KAMILLA JAYA RAO,Independent,2741,1,2742,11,Lost
Andhra Pradesh,Peddapalle ,GADDALA VINAY KUMAR,Independent,3263,3,3266,12,Lost
Andhra Pradesh,Peddapalle ,GORRE RAMESH,Independent,2359,2,2361,13,Lost
Andhra Pradesh,Peddapalle ,JINNA RAMADEVI,Independent,9199,0,9199,14,Lost
Andhra Pradesh,Peddapalle ,THALLAPALLI SRINIVAS,Independent,3698,1,3699,15,Lost
Andhra Pradesh,Peddapalle ,BUPELLI NARAYANA,Independent,7255,3,7258,16,Lost
Andhra Pradesh,Peddapalle ,MOUTAM RAVINDER,Independent,2671,3,2674,17,Lost
Andhra Pradesh,Peddapalle ,None of the Above,NOTA,5344,17,5361,18,Lost
Andhra Pradesh,Karimnagar ,CHENNAMANENI VIDYA SAGAR RAO,Bharatiya Janata Party,213836,992,214828,1,Won
Andhra Pradesh,Karimnagar ,PONNAM PRABHAKAR,Indian National Congress,298386,2320,300706,2,Lost
Andhra Pradesh,Karimnagar ,BURLA. RAVI,Nationalist Congress Party,4768,1,4769,3,Lost
Andhra Pradesh,Karimnagar ,B. LAXMAN,Bahujan Samaj Party,11289,39,11328,4,Lost
Andhra Pradesh,Karimnagar ,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,503197,2161,505358,5,Lost
Andhra Pradesh,Karimnagar ,DR.DHARMAIAH VENDAVETLA,Bahujan Mukti Party,3771,1,3772,6,Lost
Andhra Pradesh,Karimnagar ,L. PRABHAKAR REDDY,Pyramid Party of India,3942,1,3943,7,Lost
Andhra Pradesh,Karimnagar ,MEESALA RAJI REDDY,Yuvajana Sramika Rythu Congress Party,3071,4,3075,8,Lost
Andhra Pradesh,Karimnagar ,RANAVENI LAKSHMAN,New India Party,2061,1,2062,9,Lost
Andhra Pradesh,Karimnagar ,REDDI MALLA SRINIVAS,Republican Party of India (A),8033,1,8034,10,Lost
Andhra Pradesh,Karimnagar ,SHAIK MAHMOOD,Welfare Party of India,39300,8,39308,11,Lost
Andhra Pradesh,Karimnagar ,UPPULETI.LAXMAN,Independent,2445,0,2445,12,Lost
Andhra Pradesh,Karimnagar ,KANDEM PRABHAKAR,Independent,4727,1,4728,13,Lost
Andhra Pradesh,Karimnagar ,PULIKOTA RAMESH,Independent,1772,1,1773,14,Lost
Andhra Pradesh,Karimnagar ,MALLESH YADAV BARLA,Independent,2757,0,2757,15,Lost
Andhra Pradesh,Karimnagar ,MOHAMMED AMJAD MOHIUDDIN,Independent,6713,0,6713,16,Lost
Andhra Pradesh,Karimnagar ,SRINIVAS REDDY LINGAMPALLY,Independent,3851,0,3851,17,Lost
Andhra Pradesh,Karimnagar ,None of the Above,NOTA,5722,12,5734,18,Lost
Andhra Pradesh,Nizamabad,ENDALA LAKSHMINARAYANA,Bharatiya Janata Party,222876,2457,225333,1,Won
Andhra Pradesh,Nizamabad,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,435706,3601,439307,2,Lost
Andhra Pradesh,Nizamabad,TALARI RAMULU,Bahujan Samaj Party,7398,23,7421,3,Lost
Andhra Pradesh,Nizamabad,MADHU YASKHI GOUD,Indian National Congress,270948,1175,272123,4,Lost
Andhra Pradesh,Nizamabad,ABDUL GANI,BCUF,4791,0,4791,5,Lost
Andhra Pradesh,Nizamabad,BANJA VEERAPPA,Pyramid Party of India,3649,2,3651,6,Lost
Andhra Pradesh,Nizamabad,MALIK MOHTASIM KHAN,Welfare Party of India,43738,76,43814,7,Lost
Andhra Pradesh,Nizamabad,RAPELLY SRINIVAS,Aam Aadmi Party,2613,8,2621,8,Lost
Andhra Pradesh,Nizamabad,SAGAR SUDDALA,Bahujan Mukti Party,1952,26,1978,9,Lost
Andhra Pradesh,Nizamabad,SINGAREDDY RAVINDRA REDDY,Yuvajana Sramika Rythu Congress Party,3508,21,3529,10,Lost
Andhra Pradesh,Nizamabad,ABDUL KAREEM KHAN (BABU),Independent,1599,2,1601,11,Lost
Andhra Pradesh,Nizamabad,KANDEM PRABHAKAR,Independent,3988,2,3990,12,Lost
Andhra Pradesh,Nizamabad,KOTAPATI NARSIMHAM NAIDU,Independent,2458,4,2462,13,Lost
Andhra Pradesh,Nizamabad,S. CHANDRAIAH,Independent,2817,0,2817,14,Lost
Andhra Pradesh,Nizamabad,CHIRULINGADRULA VENKATESHAM,Independent,3091,0,3091,15,Lost
Andhra Pradesh,Nizamabad,BAGWAN B,Independent,8129,0,8129,16,Lost
Andhra Pradesh,Nizamabad,None of the Above,NOTA,7244,22,7266,17,Lost
Andhra Pradesh,Zahirabad,B.B. PATIL,Telangana Rashtra Samithi,505983,2678,508661,1,Won
Andhra Pradesh,Zahirabad,K.MADAN MOHAN RAO,Telugu Desam,156807,690,157497,2,Lost
Andhra Pradesh,Zahirabad,SYED FEROZUDDIN,Bahujan Samaj Party,8165,15,8180,3,Lost
Andhra Pradesh,Zahirabad,SURESH KUMAR SHETKAR,Indian National Congress,362939,1091,364030,4,Lost
Andhra Pradesh,Zahirabad,MARRI DURGESH,Republican Party of India (A),18027,0,18027,5,Lost
Andhra Pradesh,Zahirabad,MAHMOOD MOHIUDDIN,Yuvajana Sramika Rythu Congress Party,12369,14,12383,6,Lost
Andhra Pradesh,Zahirabad,DR. SUNEEL KUMAR CHOWDHARY,Aam Aadmi Party,3270,15,3285,7,Lost
Andhra Pradesh,Zahirabad,TANDALE AMBAJI RAO,Independent,2321,2,2323,8,Lost
Andhra Pradesh,Zahirabad,BENJAMIN RAJU,Independent,4802,2,4804,9,Lost
Andhra Pradesh,Zahirabad,RAMA RAO,Independent,4426,0,4426,10,Lost
Andhra Pradesh,Zahirabad,None of the Above,NOTA,11157,33,11190,11,Lost
Andhra Pradesh,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi,655484,2008,657492,1,Won
Andhra Pradesh,Medak,CHAGANLA NARENDRA NATH,Bharatiya Janata Party,181177,627,181804,2,Lost
Andhra Pradesh,Medak,Y. SHANKAR GOUD,Bahujan Samaj Party,6633,10,6643,3,Lost
Andhra Pradesh,Medak,DR.P. SHRAVAN KUMAR REDDY,Indian National Congress,260202,261,260463,4,Lost
Andhra Pradesh,Medak,IQBAL ALI ZAFAR,Majlis Bachao Tahreek,5010,0,5010,5,Lost
Andhra Pradesh,Medak,KOMPELLI PRABHUDAS,Republican Party of India (A),7599,0,7599,6,Lost
Andhra Pradesh,Medak,"PRABHUGOUD, PULLAIAHGARI",Yuvajana Sramika Rythu Congress Party,11744,8,11752,7,Lost
Andhra Pradesh,Medak,BOMMA BALESHAM,Pyramid Party of India,3296,1,3297,8,Lost
Andhra Pradesh,Medak,KUNDETI. RAVI.,Independent,33507,0,33507,9,Lost
Andhra Pradesh,Medak,GAJABINKAR BANSILAL,Independent,3281,0,3281,10,Lost
Andhra Pradesh,Medak,GURJADA BHEERAIAH YADAV,Independent,2050,3,2053,11,Lost
Andhra Pradesh,Medak,BALARAJU MITTAPALLY,Independent,2973,0,2973,12,Lost
Andhra Pradesh,Medak,MEKA. SUBBA RAO,Independent,4441,0,4441,13,Lost
Andhra Pradesh,Medak,None of the Above,NOTA,10687,9,10696,14,Lost
Andhra Pradesh,Malkajgiri,KARUNAKAR.R,Bahujan Samaj Party,6111,22,6133,1,Won
Andhra Pradesh,Malkajgiri,CH.MALLA REDDY,Telugu Desam,522423,933,523356,2,Lost
Andhra Pradesh,Malkajgiri,SARVEY SATHYANARAYANA,Indian National Congress,232989,541,233530,3,Lost
Andhra Pradesh,Malkajgiri,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi,493433,1757,495190,4,Lost
Andhra Pradesh,Malkajgiri,DR.JAYAPRAKASH  NARAYAN .N,Lok Seva Parishad,157530,718,158248,5,Lost
Andhra Pradesh,Malkajgiri,JAJULA BHASKAR,SHP,7951,2,7953,6,Lost
Andhra Pradesh,Malkajgiri,V.DINESH REDDY,Yuvajana Sramika Rythu Congress Party,114941,280,115221,7,Lost
Andhra Pradesh,Malkajgiri,DIVAKAR DHARANIKOTA SUDHAKAR,All India Majlis-E-Ittehadul Muslimeen,18535,9,18544,8,Lost
Andhra Pradesh,Malkajgiri,PADURI SRINIVAS REDDY,TLP,793,9,802,9,Lost
Andhra Pradesh,Malkajgiri,BANDI SUDHAKAR,Jai Samaikyandhra Party,4088,7,4095,10,Lost
Andhra Pradesh,Malkajgiri,MURARI.T.N,Shivsena,1388,2,1390,11,Lost
Andhra Pradesh,Malkajgiri,SATHYANARAYANA YAADAV PEDDIBOYINA,BCBDP,593,3,596,12,Lost
Andhra Pradesh,Malkajgiri,SUTHARAPU PADMAIAH,APRSSP,527,2,529,13,Lost
Andhra Pradesh,Malkajgiri,DR.N.V.SUDHA KIRAN,Aam Aadmi Party,8264,37,8301,14,Lost
Andhra Pradesh,Malkajgiri,SURAKANTI VENKAT REDDY,Pyramid Party of India,2048,1,2049,15,Lost
Andhra Pradesh,Malkajgiri,ANJANEYULU.E,Independent,2675,2,2677,16,Lost
Andhra Pradesh,Malkajgiri,KANTE SAYANNA,Independent,2260,1,2261,17,Lost
Andhra Pradesh,Malkajgiri,KOYALKAR BHOJ RAJ,Independent,1547,0,1547,18,Lost
Andhra Pradesh,Malkajgiri,GAJABINKAR BANSILAL,Independent,1416,0,1416,19,Lost
Andhra Pradesh,Malkajgiri,DASARI BHARATH REDDY,Independent,1693,0,1693,20,Lost
Andhra Pradesh,Malkajgiri,PROF. K.NAGESHWAR,Independent,13037,202,13239,21,Lost
Andhra Pradesh,Malkajgiri,M.NAGESWARA RAO,Independent,1264,37,1301,22,Lost
Andhra Pradesh,Malkajgiri,PEESARI SATISH REDDY,Independent,1325,0,1325,23,Lost
Andhra Pradesh,Malkajgiri,POTTURI TULASI DAS,Independent,411,0,411,24,Lost
Andhra Pradesh,Malkajgiri,POLISETTY KRISHNA RAO,Independent,495,1,496,25,Lost
Andhra Pradesh,Malkajgiri,D.BIKSHAPATHI,Independent,5715,2,5717,26,Lost
Andhra Pradesh,Malkajgiri,RAHUL PANDIT,Independent,897,2,899,27,Lost
Andhra Pradesh,Malkajgiri,VATTIKUTI RAMARAO GOUD,Independent,1031,1,1032,28,Lost
Andhra Pradesh,Malkajgiri,M.T.VARUGHESE,Independent,1025,1,1026,29,Lost
Andhra Pradesh,Malkajgiri,B.VEERA HANUMANTHA REDDY,Independent,775,0,775,30,Lost
Andhra Pradesh,Malkajgiri,None of the Above,NOTA,8666,26,8692,31,Lost
Andhra Pradesh,Secundrabad,M.ANJAN KUMAR YADAV,Indian National Congress,183427,109,183536,1,Won
Andhra Pradesh,Secundrabad,KHAJA KHALID ANWAR,Bahujan Samaj Party,2856,7,2863,2,Lost
Andhra Pradesh,Secundrabad,BANDARU DATTATREYA,Bharatiya Janata Party,437860,411,438271,3,Lost
Andhra Pradesh,Secundrabad,T.BHEEMSEN,Telangana Rashtra Samithi,143696,151,143847,4,Lost
Andhra Pradesh,Secundrabad,ABDUS SATTAR MUJAHED,ABML(S),807,2,809,5,Lost
Andhra Pradesh,Secundrabad,DR.N.S.UDAY KUMAR,pjdl,927,1,928,6,Lost
Andhra Pradesh,Secundrabad,KARANKOTE NARENDER,All India Forward Bloc,474,0,474,7,Lost
Andhra Pradesh,Secundrabad,KUMAR CHOWDARY YADAV.G,sps,547,0,547,8,Lost
Andhra Pradesh,Secundrabad,KHAJA SIRAJUDDIN AZAZ,mmsp,957,2,959,9,Lost
Andhra Pradesh,Secundrabad,CHAYA RATAN MUSINIPALLY,Aam Aadmi Party,11162,22,11184,10,Lost
Andhra Pradesh,Secundrabad,B.DEEPAK KUMAR,Republican Party of India (Khobragade),1813,0,1813,11,Lost
Andhra Pradesh,Secundrabad,NARLA MOHAN RAO,All India Majlis-E-Ittehadul Muslimeen,145095,25,145120,12,Lost
Andhra Pradesh,Secundrabad,DR.MALATHI LATHA EPPA,JAP,871,2,873,13,Lost
Andhra Pradesh,Secundrabad,CH. MURAHARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),552,2,554,14,Lost
Andhra Pradesh,Secundrabad,MOHD IMTIAZ HUSSAIN,Indian Union Muslim League,784,2,786,15,Lost
Andhra Pradesh,Secundrabad,RAGHU DESHABOINA,Bahujan Mukti Party,1494,2,1496,16,Lost
Andhra Pradesh,Secundrabad,J.RAMULU,Revolutionary Socialist Party,2057,1,2058,17,Lost
Andhra Pradesh,Secundrabad,SHAKTHI SATYAVATHI,Pyramid Party of India,638,0,638,18,Lost
Andhra Pradesh,Secundrabad,K. SRINIVASULU,Jai Samaikyandhra Party,3688,3,3691,19,Lost
Andhra Pradesh,Secundrabad,SYED SAJID ALI,Yuvajana Sramika Rythu Congress Party,45161,26,45187,20,Lost
Andhra Pradesh,Secundrabad,K.SAI KRISHNA MOHAN RAO,ICSP,2599,4,2603,21,Lost
Andhra Pradesh,Secundrabad,SONU SARSAL VALMIKI,TECPI,2310,1,2311,22,Lost
Andhra Pradesh,Secundrabad,ANANTH RAO GUNDEPALLY,Independent,779,0,779,23,Lost
Andhra Pradesh,Secundrabad,AVULA RANGANAYAKULU,Independent,1143,1,1144,24,Lost
Andhra Pradesh,Secundrabad,MICHAEL DANIEL OVELZ,Independent,291,0,291,25,Lost
Andhra Pradesh,Secundrabad,MOHD ABUBAKAR PARWAIZ SIDDIQUI,Independent,322,0,322,26,Lost
Andhra Pradesh,Secundrabad,MOHAMMED RIZWAN HUSSAIN,Independent,370,0,370,27,Lost
Andhra Pradesh,Secundrabad,S. LAKSHMAN RAO,Independent,885,1,886,28,Lost
Andhra Pradesh,Secundrabad,SYED MADANI QUADRI,Independent,376,0,376,29,Lost
Andhra Pradesh,Secundrabad,B.SUBRAMANYAM,Independent,2480,1,2481,30,Lost
Andhra Pradesh,Secundrabad,None of the Above,NOTA,6567,5,6572,31,Lost
Andhra Pradesh,Hyderabad,S KRISHNA REDDY,Indian National Congress,49301,9,49310,1,Won
Andhra Pradesh,Hyderabad,DR.BHAGAVANTH RAO,Bharatiya Janata Party,311336,78,311414,2,Lost
Andhra Pradesh,Hyderabad,RASHID SHAREEF,Telangana Rashtra Samithi,37190,5,37195,3,Lost
Andhra Pradesh,Hyderabad,VENU GOPAL.P,Bahujan Samaj Party,3100,0,3100,4,Lost
Andhra Pradesh,Hyderabad,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,513777,91,513868,5,Lost
Andhra Pradesh,Hyderabad,S.KHAJA MOINUDDIN,AIACP,1592,1,1593,6,Lost
Andhra Pradesh,Hyderabad,JAYA VINDHYALA,Socialist Party (India),598,0,598,7,Lost
Andhra Pradesh,Hyderabad,BINGHI RAJASHEKAR,Pyramid Party of India,21796,0,21796,8,Lost
Andhra Pradesh,Hyderabad,BODDU SAINATH REDDY,Yuvajana Sramika Rythu Congress Party,10735,8,10743,9,Lost
Andhra Pradesh,Hyderabad,N.MAHENDER SINGH,NBNP,485,0,485,10,Lost
Andhra Pradesh,Hyderabad,LUBNA SARWATH,Aam Aadmi Party,6118,0,6118,11,Lost
Andhra Pradesh,Hyderabad,SYED MUSTAFA MAHMOOD,Majlis Bachao Tahreek,2101,1,2102,12,Lost
Andhra Pradesh,Hyderabad,MD OSMAN,Independent,728,0,728,13,Lost
Andhra Pradesh,Hyderabad,SHAIK MOIN,Independent,626,0,626,14,Lost
Andhra Pradesh,Hyderabad,SYED ABDUL GAFFER,Independent,740,0,740,15,Lost
Andhra Pradesh,Hyderabad,M A HABEEB,Independent,5992,0,5992,16,Lost
Andhra Pradesh,Hyderabad,None of the Above,NOTA,5011,2,5013,17,Lost
Andhra Pradesh,CHELVELLA,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,431084,3993,435077,1,Won
Andhra Pradesh,CHELVELLA,TULLA VEERENDER,Telugu Desam,352227,976,353203,2,Lost
Andhra Pradesh,CHELVELLA,PATLOLLA KARTIK REDDY,Indian National Congress,360834,1220,362054,3,Lost
Andhra Pradesh,CHELVELLA,SAMALA RAVINDAR,Bahujan Samaj Party,7713,19,7732,4,Lost
Andhra Pradesh,CHELVELLA,KUMMARI GIRI,Pyramid Party of India,5787,2,5789,5,Lost
Andhra Pradesh,CHELVELLA,KONDA RAGHAVA REDDY,Yuvajana Sramika Rythu Congress Party,40069,66,40135,6,Lost
Andhra Pradesh,CHELVELLA,DR.GOLLA RAMAIAH,TLP,1737,28,1765,7,Lost
Andhra Pradesh,CHELVELLA,CHAN PASHA,ABML(S),56832,3,56835,8,Lost
Andhra Pradesh,CHELVELLA,MD YUNUS MIYA,MCPI,2901,3,2904,9,Lost
Andhra Pradesh,CHELVELLA,REGATTE VENKAT REDDY,Aam Aadmi Party,7433,29,7462,10,Lost
Andhra Pradesh,CHELVELLA,SYED HASHMATHULLAH QUADRI,Indian Union Muslim League,1399,12,1411,11,Lost
Andhra Pradesh,CHELVELLA,DR. P. SADHU SATYANADHAN,ICSP,2487,58,2545,12,Lost
Andhra Pradesh,CHELVELLA,SUTHARAPU PADMAIAH,APRSSP,2211,3,2214,13,Lost
Andhra Pradesh,CHELVELLA,G.MALLESHAM GOUD,Independent,24650,10,24660,14,Lost
Andhra Pradesh,CHELVELLA,SANIKE RAM GOPAL YADAV,Independent,2056,2,2058,15,Lost
Andhra Pradesh,CHELVELLA,None of the Above,NOTA,9989,29,10018,16,Lost
Andhra Pradesh,Mahbubnagar,KADIRE KRISHNA,Bahujan Samaj Party,15690,89,15779,1,Won
Andhra Pradesh,Mahbubnagar,DR. JANARDHAN REDDY NAGAM,Bharatiya Janata Party,270102,2689,272791,2,Lost
Andhra Pradesh,Mahbubnagar,JAIPAL REDDY SUDINI,Indian National Congress,330167,1471,331638,3,Lost
Andhra Pradesh,Mahbubnagar,AP JITHENDER REDDY,Telangana Rashtra Samithi,332581,1647,334228,4,Lost
Andhra Pradesh,Mahbubnagar,S.R.PREMAIAH,Pyramid Party of India,30379,9,30388,5,Lost
Andhra Pradesh,Mahbubnagar,H.A. RAHMAN,Yuvajana Sramika Rythu Congress Party,9065,40,9105,6,Lost
Andhra Pradesh,Mahbubnagar,IBRAHIM SYED,Independent,4487,62,4549,7,Lost
Andhra Pradesh,Mahbubnagar,DR. CHANDRA SEKHAR. A,Independent,3983,50,4033,8,Lost
Andhra Pradesh,Mahbubnagar,S. SHIVA SHANKAR,Independent,3242,10,3252,9,Lost
Andhra Pradesh,Mahbubnagar,None of the Above,NOTA,9016,21,9037,10,Lost
Andhra Pradesh,Nagarkurnool,YELLAIAH NANDI,Indian National Congress,419040,1035,420075,1,Won
Andhra Pradesh,Nagarkurnool,BAKKANI NARSIMLU,Telugu Desam,182734,618,183352,2,Lost
Andhra Pradesh,Nagarkurnool,BAHADHUR SRINIVAS,Bahujan Samaj Party,12022,67,12089,3,Lost
Andhra Pradesh,Nagarkurnool,DR. MANDA JAGANNATH,Telangana Rashtra Samithi,401212,2187,403399,4,Lost
Andhra Pradesh,Nagarkurnool,MAREDU GOPAL,Yuvajana Sramika Rythu Congress Party,22955,30,22985,5,Lost
Andhra Pradesh,Nagarkurnool,BUDDULA SRINIVAS,Independent,54675,5,54680,6,Lost
Andhra Pradesh,Nagarkurnool,None of the Above,NOTA,12329,59,12388,7,Lost
Andhra Pradesh,Nalgonda,KUNDARAPU RAMESH,Bahujan Samaj Party,11503,14,11517,1,Won
Andhra Pradesh,Nalgonda,GUTHA SUKHENDER REDDY,Indian National Congress,467984,4109,472093,2,Lost
Andhra Pradesh,Nalgonda,TERA CHINNAPA REDDY,Telugu Desam,277433,1504,278937,3,Lost
Andhra Pradesh,Nalgonda,NANDYALA NARSIMHA REDDY,Communist Party of India  (Marxist),54157,266,54423,4,Lost
Andhra Pradesh,Nalgonda,DR. PALLA RAJESHWAR REDDY,Telangana Rashtra Samithi,257953,2724,260677,5,Lost
Andhra Pradesh,Nalgonda,GUNNAM NAGI REDDY,Yuvajana Sramika Rythu Congress Party,39339,46,39385,6,Lost
Andhra Pradesh,Nalgonda,TEJAVATH BELLAIAH NAIK,Aam Aadmi Party,2297,11,2308,7,Lost
Andhra Pradesh,Nalgonda,MANUPURI DAYA SAGAR,Pyramid Party of India,4481,14,4495,8,Lost
Andhra Pradesh,Nalgonda,MARRI NEHEMIAH,Independent,56256,3,56259,9,Lost
Andhra Pradesh,Nalgonda,None of the Above,NOTA,9284,21,9305,10,Lost
Andhra Pradesh,Bhongir ,ARVAPALLY AMBATI,Bahujan Samaj Party,9023,6,9029,1,Won
Andhra Pradesh,Bhongir ,INDRASENA REDDY NALLU,Bharatiya Janata Party,182849,400,183249,2,Lost
Andhra Pradesh,Bhongir ,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,416240,1380,417620,3,Lost
Andhra Pradesh,Bhongir ,CHERUPALLY SEETHARAMULU,Communist Party of India  (Marxist),53973,62,54035,4,Lost
Andhra Pradesh,Bhongir ,DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi,446822,1342,448164,5,Lost
Andhra Pradesh,Bhongir ,KAPILAVAI DILEEP KUMAR,Rashtriya Lok Dal,5550,1,5551,6,Lost
Andhra Pradesh,Bhongir ,GUDURU JANARDHAN REDDY,Jai Samaikyandhra Party,2342,0,2342,7,Lost
Andhra Pradesh,Bhongir ,GUAHATI MOTHILAL,All India Majlis-E-Ittehadul Muslimeen,2598,2,2600,8,Lost
Andhra Pradesh,Bhongir ,NAGULA SRINIVAS YADAV,MaSP,1852,6,1858,9,Lost
Andhra Pradesh,Bhongir ,BOILLA NARENDER,Republican Party of India (A),6846,1,6847,10,Lost
Andhra Pradesh,Bhongir ,NAVULLA MALLA REDDY,Independent,26805,0,26805,11,Lost
Andhra Pradesh,Bhongir ,RAVULAPALLY KONDAL RAO,Independent,7720,1,7721,12,Lost
Andhra Pradesh,Bhongir ,VARIKUPPALA KRISHNA VADDERA,Independent,35004,0,35004,13,Lost
Andhra Pradesh,Bhongir ,None of the Above,NOTA,10869,38,10907,14,Lost
Andhra Pradesh,Warangal,KADIYAM SRIHARI,Telangana Rashtra Samithi,658828,2811,661639,1,Won
Andhra Pradesh,Warangal,GANNARAPU SURENDER,Bahujan Samaj Party,9489,47,9536,2,Lost
Andhra Pradesh,Warangal,PARAMESHWAR RAMAGALLA,Bharatiya Janata Party,186742,397,187139,3,Lost
Andhra Pradesh,Warangal,RAJAIAH SIRICILLA,Indian National Congress,268450,615,269065,4,Lost
Andhra Pradesh,Warangal,CHINTHA SWAMY,Aam Aadmi Party,5561,8,5569,5,Lost
Andhra Pradesh,Warangal,THUPPARI NARASIMHA SWAMY,Pyramid Party of India,7350,0,7350,6,Lost
Andhra Pradesh,Warangal,VENKANNA KANNAM,MCPI,2257,1,2258,7,Lost
Andhra Pradesh,Warangal,VENKANNA NEERUDU,Bahujan Mukti Party,2098,0,2098,8,Lost
Andhra Pradesh,Warangal,VENU ESAMPELLY,All India Forward Bloc,1541,0,1541,9,Lost
Andhra Pradesh,Warangal,KANAKAM RAMESH,Independent,2013,0,2013,10,Lost
Andhra Pradesh,Warangal,CHILUVERU PRATHAP,Independent,9178,0,9178,11,Lost
Andhra Pradesh,Warangal,JANNU MAHENDAR,Independent,3209,2,3211,12,Lost
Andhra Pradesh,Warangal,None of the Above,NOTA,14007,27,14034,13,Lost
Andhra Pradesh,Mahabubabad  ,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,319388,1181,320569,1,Won
Andhra Pradesh,Mahabubabad  ,P. BALRAM,Indian National Congress,283735,1842,285577,2,Lost
Andhra Pradesh,Mahabubabad  ,BANOTH MOHANLAL,Telugu Desam,215664,240,215904,3,Lost
Andhra Pradesh,Mahabubabad  ,BODA RAASI,Bahujan Samaj Party,6220,4,6224,4,Lost
Andhra Pradesh,Mahabubabad  ,KAVITHA RANI LUNAVATH,Pyramid Party of India,6633,4,6637,5,Lost
Andhra Pradesh,Mahabubabad  ,GUGULOTU JAGAN,MCPI,3662,0,3662,6,Lost
Andhra Pradesh,Mahabubabad  ,TELLAM VENKATA RAO,Yuvajana Sramika Rythu Congress Party,127819,653,128472,7,Lost
Andhra Pradesh,Mahabubabad  ,EESAM SUDHAKAR,Independent,2193,0,2193,8,Lost
Andhra Pradesh,Mahabubabad  ,V. GOURI NAGAMANI,Independent,13580,83,13663,9,Lost
Andhra Pradesh,Mahabubabad  ,DATLA NAGESHWAR RAO,Independent,6833,20,6853,10,Lost
Andhra Pradesh,Mahabubabad  ,PADIGA YARRAIAH,Independent,3496,2,3498,11,Lost
Andhra Pradesh,Mahabubabad  ,PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),Independent,94029,15,94044,12,Lost
Andhra Pradesh,Mahabubabad  ,PONAKA SAMMAKKA,Independent,3443,0,3443,13,Lost
Andhra Pradesh,Mahabubabad  ,BALUNAYAK BHUKYA,Independent,3091,0,3091,14,Lost
Andhra Pradesh,Mahabubabad  ,METLA PAPAIAH,Independent,3882,43,3925,15,Lost
Andhra Pradesh,Mahabubabad  ,LAXMAN BUKYA,Independent,14029,5,14034,16,Lost
Andhra Pradesh,Mahabubabad  ,LAXMINARAYANA BORRA,Independent,5879,0,5879,17,Lost
Andhra Pradesh,Mahabubabad  ,None of the Above,NOTA,6695,9,6704,18,Lost
Andhra Pradesh,Khammam ,KANKANALA NARAYANA,Communist Party of India,187266,436,187702,1,Won
Andhra Pradesh,Khammam ,DODDA RAM BABU,Bahujan Samaj Party,4758,3,4761,2,Lost
Andhra Pradesh,Khammam ,NAMA NAGESWARA RAO,Telugu Desam,407614,2616,410230,3,Lost
Andhra Pradesh,Khammam ,BUDAN BAIG SHAIK,Telangana Rashtra Samithi,88944,180,89124,4,Lost
